hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality,pick_rate_normalized,win_rate_normalized,ban_rate_normalized
72,Thamuz,Fighter,Exp Lane,0.93,51.51,2.42,"Chase, Damage",0.3891402714932127,0.6166089965397923,0.045575896262395124
6,Tigreal,Tank,Roam,1.11,43.74,1.2,Crowd Control,0.47058823529411764,0.07889273356401416,0.022311212814645306
59,Uranus,Tank,Exp Lane,0.61,50.52,0.82,Regen,0.24434389140271495,0.5480968858131492,0.015064836003051104
66,Vale,Mage,Mid Lane,0.28,47.64,0.04,"Burst, Crowd Control",0.09502262443438916,0.34878892733564015,0.0001906941266209001
110,Valentina,Mage,Mid Lane,0.19,44.55,0.05,"Burst, Finisher",0.054298642533936646,0.13494809688581322,0.0003813882532418002
57,Valir,Mage,Mid Lane,0.61,50.72,0.36,"Damage, Guard",0.24434389140271495,0.561937716262976,0.006292906178489703
38,Vexana,Mage,Mid Lane,1.48,51.09,0.61,"Poke, Control",0.6380090497737556,0.587543252595156,0.011060259344012205
89,Wanwan,Marksman,Gold Lane,0.34,49.57,2.56,"Finisher, Burst",0.12217194570135748,0.48235294117647065,0.048245614035087724
83,X.Borg,Fighter,Exp Lane,1.37,49.97,5.45,"Regen, Burst",0.5882352941176471,0.5100346020761246,0.10335621662852786
115,Xavier,Mage,Mid Lane,1.47,51.17,1.01,"Damage, Burst",0.6334841628959276,0.5930795847750869,0.018688024408848206
113,Yin,Fighter,Jungle,0.31,48.79,0.5,"Burst, Control",0.1085972850678733,0.42837370242214545,0.008962623951182304
95,Yu Zhong,Fighter,Exp Lane,1.54,51.18,4.09,"Regen, Damage",0.665158371040724,0.5937716262975781,0.07742181540808543
101,Yve,Mage,Mid Lane,0.63,53.66,1.39,"Poke, Burst",0.25339366515837103,0.7653979238754327,0.025934401220442407
129,Zetian,Mage,Mid Lane,0.91,48.65,2.05,"Damage, Crowd Control",0.3800904977375566,0.4186851211072664,0.038520213577421816
50,Zhask,Mage,Mid Lane,0.18,48.48,0.05,"Chase, Damage",0.049773755656108594,0.4069204152249135,0.0003813882532418002
125,Zhuxin,Mage,Mid Lane,0.71,50.22,3.92,"Damage, Crowd Control",0.28959276018099545,0.5273356401384084,0.07418001525553014
16,Zilong,Fighter,Exp Lane,0.29,45.93,0.24,"Chase, Damage",0.09954751131221717,0.23044982698961958,0.004004576659038902
